,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore
145,200881843,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110310_5_10_1,kristiansandavis,Kristiansand,20110310,2011,digavis,biblioteket,1,2,2,0
146,200881849,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110428_5_17_1,kristiansandavis,Kristiansand,20110428,2011,digavis,biblioteket,4,5,4,1
147,200881852,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110519_5_20_1,kristiansandavis,Kristiansand,20110519,2011,digavis,biblioteket,3,2,7,-5
148,200881853,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110526_5_21_1,kristiansandavis,Kristiansand,20110526,2011,digavis,biblioteket,1,2,1,1
149,200881867,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110901_5_35_1,kristiansandavis,Kristiansand,20110901,2011,digavis,biblioteket,1,3,1,2
150,200881871,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110929_5_39_1,kristiansandavis,Kristiansand,20110929,2011,digavis,biblioteket,1,2,0,2
151,200881876,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20111103_5_44_1,kristiansandavis,Kristiansand,20111103,2011,digavis,biblioteket,1,3,1,2
152,200881891,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120216_6_7_1,kristiansandavis,Kristiansand,20120216,2012,digavis,biblioteket,2,2,1,1
153,200881894,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120308_6_10_1,kristiansandavis,Kristiansand,20120308,2012,digavis,biblioteket,1,1,0,1
154,200881901,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120426_6_17_1,kristiansandavis,Kristiansand,20120426,2012,digavis,biblioteket,1,1,1,0
155,200881906,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20120531_6_22_1,kristiansandavis,Kristiansand,20120531,2012,digavis,biblioteket,1,1,2,-1
156,200881930,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20121115_6_46_1,kristiansandavis,Kristiansand,20121115,2012,digavis,biblioteket,1,1,2,-1
157,200881935,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20121220_6_51_1,kristiansandavis,Kristiansand,20121220,2012,digavis,biblioteket,1,1,3,-2
